File Name, Transporting time (ms), Verifiying time (ms)
1000_dig_sig.json,973,177
2000_dig_sig.json,1017,168
3000_dig_sig.json,1013,173
4000_dig_sig.json,990,175
5000_dig_sig.json,1008,174
6000_dig_sig.json,1049,180
7000_dig_sig.json,983,191
8000_dig_sig.json,1008,171
9000_dig_sig.json,1109,174
10000_dig_sig.json,1038,172
11000_dig_sig.json,985,180
12000_dig_sig.json,1064,176
13000_dig_sig.json,1212,182
14000_dig_sig.json,1105,184
15000_dig_sig.json,1043,184
16000_dig_sig.json,1010,178
17000_dig_sig.json,1003,175
18000_dig_sig.json,975,182
19000_dig_sig.json,976,177
20000_dig_sig.json,1018,187
21000_dig_sig.json,958,195
22000_dig_sig.json,1008,184
23000_dig_sig.json,1019,176
24000_dig_sig.json,1000,177
25000_dig_sig.json,1018,184
26000_dig_sig.json,1023,182
27000_dig_sig.json,967,193
28000_dig_sig.json,970,191
29000_dig_sig.json,999,174
30000_dig_sig.json,972,196
31000_dig_sig.json,1036,182
32000_dig_sig.json,978,181
33000_dig_sig.json,1120,184
34000_dig_sig.json,981,198
35000_dig_sig.json,1030,186
36000_dig_sig.json,1004,196
37000_dig_sig.json,988,182
38000_dig_sig.json,1302,178
39000_dig_sig.json,1137,199
40000_dig_sig.json,1011,189
41000_dig_sig.json,1069,189
42000_dig_sig.json,1081,195
43000_dig_sig.json,1016,186
44000_dig_sig.json,1013,182
45000_dig_sig.json,1029,203
46000_dig_sig.json,1102,205
47000_dig_sig.json,980,197
48000_dig_sig.json,946,183
49000_dig_sig.json,1015,184
50000_dig_sig.json,965,183
51000_dig_sig.json,1051,183
52000_dig_sig.json,1018,206
53000_dig_sig.json,1129,197
54000_dig_sig.json,972,190
55000_dig_sig.json,1010,204
56000_dig_sig.json,1002,199
57000_dig_sig.json,1041,197
58000_dig_sig.json,1007,191
59000_dig_sig.json,958,195
60000_dig_sig.json,935,196
61000_dig_sig.json,1118,215
62000_dig_sig.json,1164,201
63000_dig_sig.json,1082,211
64000_dig_sig.json,994,192
65000_dig_sig.json,1096,192
66000_dig_sig.json,997,212
67000_dig_sig.json,997,204
68000_dig_sig.json,958,194
69000_dig_sig.json,963,198
70000_dig_sig.json,1024,204
71000_dig_sig.json,1062,208
72000_dig_sig.json,1046,207
73000_dig_sig.json,1004,211
74000_dig_sig.json,999,198
75000_dig_sig.json,996,210
76000_dig_sig.json,1024,199
77000_dig_sig.json,965,219
78000_dig_sig.json,999,214
79000_dig_sig.json,1029,203
80000_dig_sig.json,1061,199
81000_dig_sig.json,976,226
82000_dig_sig.json,987,194
83000_dig_sig.json,1001,217
84000_dig_sig.json,979,207
85000_dig_sig.json,990,216
86000_dig_sig.json,1009,204
87000_dig_sig.json,1028,197
88000_dig_sig.json,949,199
89000_dig_sig.json,999,209
90000_dig_sig.json,980,213
91000_dig_sig.json,979,204
92000_dig_sig.json,1020,228
93000_dig_sig.json,1114,199
94000_dig_sig.json,993,211
95000_dig_sig.json,1004,202
96000_dig_sig.json,1018,221
97000_dig_sig.json,1038,209
98000_dig_sig.json,1052,207
99000_dig_sig.json,1109,215
100000_dig_sig.json,1239,202
